PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,250
35917720,Imaging the neural underpinnings of freezing of gait in Parkinson's disease,"Bardakan MM, Fink GR, Zapparoli L, Bottini G, Paulesu E, Weiss PH.",Neuroimage Clin. 2022;35:103123. doi: 10.1016/j.nicl.2022.103123. Epub 2022 Jul 25.,Bardakan MM,Neuroimage Clin,2022,2022/08/02,PMC9421505,,10.1016/j.nicl.2022.103123,K,0,,,,,,,,,review,
35174863,Abnormal dynamics of resting-state functional activity and couplings in postpartum depression with and without anxiety,"Cheng B, Wang X, Roberts N, Zhou Y, Wang S, Deng P, Meng Y, Deng W, Wang J.",Cereb Cortex. 2022 Feb 17:bhac038. doi: 10.1093/cercor/bhac038. Online ahead of print.,Cheng B,Cereb Cortex,2022,2022/02/17,,,10.1093/cercor/bhac038,K,1,45,31,62,,,0,0,,,
35454007,Brain Networks Involved in Depression in Patients with Frontotemporal Dementia and Parkinson's Disease: An Exploratory Resting-State Functional Connectivity MRI Study,"Alfano V, Federico G, Mele G, Garramone F, Esposito M, Aiello M, Salvatore M, Cavaliere C.",Diagnostics (Basel). 2022 Apr 12;12(4):959. doi: 10.3390/diagnostics12040959.,Alfano V,Diagnostics (Basel),2022,2022/04/23,PMC9029925,,10.3390/diagnostics12040959,K,1,17,17,16,,,0,0,,,
36209668,Altered functional connectivity in psychotic disorder not otherwise specified,"Kim WS, Heo DW, Shen J, Tsogt U, Odkhuu S, Lee J, Kang E, Kim SW, Suk HI, Chung YC.",Psychiatry Res. 2022 Sep 29;317:114871. doi: 10.1016/j.psychres.2022.114871. Online ahead of print.,Kim WS,Psychiatry Res,2022,2022/10/09,,,10.1016/j.psychres.2022.114871,K,1,49,42,55,,,0,0,,,
35370623,Dynamic Alterations in Functional Connectivity Density in Amyotrophic Lateral Sclerosis: A Resting-State Functional Magnetic Resonance Imaging Study,"Shi JY, Cai LM, Lin JH, Zou ZY, Zhang XH, Chen HJ.",Front Aging Neurosci. 2022 Mar 15;14:827500. doi: 10.3389/fnagi.2022.827500. eCollection 2022.,Shi JY,Front Aging Neurosci,2022,2022/04/04,PMC8967369,,10.3389/fnagi.2022.827500,K,1,50,55,,,,0,0,,,
35078045,Increased ventral striatal functional connectivity in patients with schizophrenia during reward anticipation,"Carruzzo F, Kaiser S, Tobler PN, Kirschner M, Simon JJ.",Neuroimage Clin. 2022;33:102944. doi: 10.1016/j.nicl.2022.102944. Epub 2022 Jan 19.,Carruzzo F,Neuroimage Clin,2022,2022/01/25,PMC8789684,,10.1016/j.nicl.2022.102944,K,1,40,33,,,,0,0,,seed-based,
35658737,Summary metrics of memory subnetwork functional connectivity alterations in multiple sclerosis,"Leavitt VM, Dworkin JD, Buyukturkoglu K, Riley CS, Ritchey M.",Mult Scler. 2022 Oct;28(12):1963-1972. doi: 10.1177/13524585221099169. Epub 2022 Jun 4.,Leavitt VM,Mult Scler,2022,2022/06/06,,,10.1177/13524585221099169,K,1,235,35,,,,0,0,,seed-based,
35546892,Abnormal Functional Connectivity of Hippocampal Subdivisions in Obstructive Sleep Apnea: A Resting-State Functional Magnetic Resonance Imaging Study,"Liu X, Chen L, Duan W, Li H, Kong L, Shu Y, Li P, Li K, Xie W, Zeng Y, Peng D.",Front Neurosci. 2022 Apr 25;16:850940. doi: 10.3389/fnins.2022.850940. eCollection 2022.,Liu X,Front Neurosci,2022,2022/05/13,PMC9082679,,10.3389/fnins.2022.850940,K,1,46,46,,,,0,0,,seed-based,
35585926,Translational Magnetic Resonance Imaging in Autism Spectrum Disorder From the Mouse Model to Human,Tsurugizawa T.,Front Neurosci. 2022 May 2;16:872036. doi: 10.3389/fnins.2022.872036. eCollection 2022.,Tsurugizawa T,Front Neurosci,2022,2022/05/19,PMC9108701,,10.3389/fnins.2022.872036,K,0,,,,,,,,,review,
35958657,Altered voxel-mirrored homotopic connectivity in right temporal lobe epilepsy as measured using resting-state fMRI and support vector machine analyses,"Chu Y, Wu J, Wang D, Huang J, Li W, Zhang S, Ren H.",Front Psychiatry. 2022 Jul 26;13:958294. doi: 10.3389/fpsyt.2022.958294. eCollection 2022.,Chu Y,Front Psychiatry,2022,2022/08/12,PMC9360423,,10.3389/fpsyt.2022.958294,K,1,59,60,,,,,,,vmhc,
35623125,Thalamo-hippocampal dysconnectivity is associated with serum cholesterol level in drug-naïve patients with first-episode schizophrenia,"Su W, Zhao Z, Li G, Tang X, Xu L, Tang Y, Wei Y, Cui H, Zhang T, Zhang J, Liu X, Guo Q, Wang J.",J Psychiatr Res. 2022 Jul;151:497-506. doi: 10.1016/j.jpsychires.2022.05.013. Epub 2022 May 12.,Su W,J Psychiatr Res,2022,2022/05/27,,,10.1016/j.jpsychires.2022.05.013,K,1,166,78,,,,1,0,limitation,seed-based,
35577874,Clinical evaluation and resting state fMRI analysis of virtual reality based training in Parkinson's disease through a randomized controlled trial,"Hajebrahimi F, Velioglu HA, Bayraktaroglu Z, Helvaci Yilmaz N, Hanoglu L.",Sci Rep. 2022 May 16;12(1):8024. doi: 10.1038/s41598-022-12061-3.,Hajebrahimi F,Sci Rep,2022,2022/05/16,PMC9110743,,10.1038/s41598-022-12061-3,K,0,,,,,,,,,within-subject,
35431890,Resting-State Functional Network Topology Alterations of the Occipital Lobe Associated With Attention Impairment in Isolated Rapid Eye Movement Behavior Disorder,"Geng C, Wang S, Li Z, Xu P, Bai Y, Zhou Y, Zhang X, Li Y, Zhang J, Zhang H.",Front Aging Neurosci. 2022 Apr 1;14:844483. doi: 10.3389/fnagi.2022.844483. eCollection 2022.,Geng C,Front Aging Neurosci,2022,2022/04/18,PMC9012114,,10.3389/fnagi.2022.844483,K,1,21,22,,,,0,0,,whole-brain,
35059875,Resting-state functional magnetic resonance imaging in patients with Parkinson's disease with and without constipation: a prospective study,"Zheng JH, Sun WH, Ma JJ, Wang ZD, Chang QQ, Dong LR, Shi XX, Li MJ.",Clin Auton Res. 2022 Feb;32(1):51-58. doi: 10.1007/s10286-022-00851-8. Epub 2022 Jan 20.,Zheng JH,Clin Auton Res,2022,2022/01/21,,,10.1007/s10286-022-00851-8,K,1,106,73,,,,,,,whole-brain,
35845606,Abnormal Dynamics of Functional Connectivity Density Associated With Chronic Neck Pain,"Ni X, Zhang J, Sun M, Wang L, Xu T, Zeng Q, Wang X, Wang Z, Liao H, Hu Y, Gao Q, Zhao L.",Front Mol Neurosci. 2022 Jun 29;15:880228. doi: 10.3389/fnmol.2022.880228. eCollection 2022.,Ni X,Front Mol Neurosci,2022,2022/07/18,PMC9277509,,10.3389/fnmol.2022.880228,K,1,89,57,,,,0,0,,dfc,
35237197,Mindfulness-Based Cognitive Therapy Regulates Brain Connectivity in Patients With Late-Life Depression,"Li H, Yan W, Wang Q, Liu L, Lin X, Zhu X, Su S, Sun W, Sui M, Bao Y, Lu L, Deng J, Sun X.",Front Psychiatry. 2022 Feb 14;13:841461. doi: 10.3389/fpsyt.2022.841461. eCollection 2022.,Li H,Front Psychiatry,2022,2022/03/03,PMC8882841,,10.3389/fpsyt.2022.841461,K,0,,,,,,,,,within-subject,
35884387,Brain Functional Connectivity in Low- and High-Grade Gliomas: Differences in Network Dynamics Associated with Tumor Grade and Location,"Pasquini L, Jenabi M, Yildirim O, Silveira P, Peck KK, Holodny AI.",Cancers (Basel). 2022 Jul 8;14(14):3327. doi: 10.3390/cancers14143327.,Pasquini L,Cancers (Basel),2022,2022/07/27,PMC9324249,,10.3390/cancers14143327,K,1,30,30,20,,,0,0,,whole-brain,
36083491,Preliminary single-arm study of brain effects during transcutaneous auricular vagus nerve stimulation treatment of recurrent depression by resting-state functional magnetic resonance imaging,"Limei C, Jifei S, Chunlei G, Xiaojiao LI, Zhi W, Yang H, Jiliang F.",J Tradit Chin Med. 2022 Oct;42(5):818-824. doi: 10.19852/j.cnki.jtcm.2022.05.010.,Limei C,J Tradit Chin Med,2022,2022/09/09,,,10.19852/j.cnki.jtcm.2022.05.010,K,0,,,,,,,,,no access,
35923542,Comorbid depressive symptoms can aggravate the functional changes of the pain matrix in patients with chronic back pain: A resting-state fMRI study,"Zhang G, Ma J, Lu W, Zhan H, Zhang X, Wang K, Hu Y, Wang X, Peng W, Yue S, Cai Q, Liang W, Wu W.",Front Aging Neurosci. 2022 Jul 18;14:935242. doi: 10.3389/fnagi.2022.935242. eCollection 2022.,Zhang G,Front Aging Neurosci,2022,2022/08/04,PMC9340779,,10.3389/fnagi.2022.935242,K,1,32,30,,,,0,0,,whole-brain,
36117618,Dynamic spectral signatures of mirror movements in the sensorimotor functional connectivity network of patients with Kallmann syndrome,"Di Nardo F, Manara R, Canna A, Trojsi F, Velletrani G, Sinisi AA, Cirillo M, Tedeschi G, Esposito F.",Front Neurosci. 2022 Aug 25;16:971809. doi: 10.3389/fnins.2022.971809. eCollection 2022.,Di Nardo F,Front Neurosci,2022,2022/09/19,PMC9477102,,10.3389/fnins.2022.971809,K,1,39,26,,,,1,0,interpretation,dfc,
35987176,Altered functional connectivity in common resting-state networks in patients with major depressive disorder: A resting-state functional connectivity study,"Krug S, Müller T, Kayali Ö, Leichter E, Peschel SKV, Jahn N, Winter L, Krüger THC, Kahl KG, Sinke C, Heitland I.",J Psychiatr Res. 2022 Aug 12;155:33-41. doi: 10.1016/j.jpsychires.2022.07.040. Online ahead of print.,Krug S,J Psychiatr Res,2022,2022/08/20,,,10.1016/j.jpsychires.2022.07.040,K,1,51,55,,,,0,0,,seed-based,
35721014,Cerebellar Continuous Theta Burst Stimulation for Aphasia Rehabilitation: Study Protocol for a Randomized Controlled Trial,"Zheng K, Chen M, Shen Y, Xu X, Gao F, Huang G, Ji Y, Su B, Song D, Fang H, Liu P, Ren C.",Front Aging Neurosci. 2022 Jun 2;14:909733. doi: 10.3389/fnagi.2022.909733. eCollection 2022.,Zheng K,Front Aging Neurosci,2022,2022/06/20,PMC9201405,,10.3389/fnagi.2022.909733,K,0,,,,,,,,,study protocol,
35712452,Abnormal Insular Dynamic Functional Connectivity and Its Relation to Social Dysfunctioning in Children With Attention Deficit/Hyperactivity Disorder,"Fateh AA, Huang W, Mo T, Wang X, Luo Y, Yang B, Smahi A, Fang D, Zhang L, Meng X, Zeng H.",Front Neurosci. 2022 May 31;16:890596. doi: 10.3389/fnins.2022.890596. eCollection 2022.,Fateh AA,Front Neurosci,2022,2022/06/17,PMC9197452,,10.3389/fnins.2022.890596,K,1,30,28,,,,1,0,limitation,dfc,
36051647,The effect of general anesthesia on the test-retest reliability of resting-state fMRI metrics and optimization of scan length,"Vedaei F, Alizadeh M, Romo V, Mohamed FB, Wu C.",Front Neurosci. 2022 Aug 16;16:937172. doi: 10.3389/fnins.2022.937172. eCollection 2022.,Vedaei F,Front Neurosci,2022,2022/09/02,PMC9425911,,10.3389/fnins.2022.937172,K,0,,,,,,,,,not case/control,
35240468,Neurometabolic and functional changes of default-mode network relate to clinical recovery in first-episode psychosis patients: A longitudinal (1)H-MRS and fMRI study,"Li W, Xu J, Xiang Q, Zhuo K, Zhang Y, Liu D, Li Y.",Neuroimage Clin. 2022;34:102970. doi: 10.1016/j.nicl.2022.102970. Epub 2022 Feb 23.,Li W,Neuroimage Clin,2022,2022/03/03,PMC8889416,,10.1016/j.nicl.2022.102970,K,0,,,,,,,,,within-subject,
35427773,Resting-state BOLD functional connectivity depends on the heterogeneity of capillary transit times in the human brain A combined lesion and simulation study about the influence of blood flow response timing,"Schneider SC, Archila-Meléndez ME, Göttler J, Kaczmarz S, Zott B, Priller J, Kallmayer M, Zimmer C, Sorg C, Preibisch C.",Neuroimage. 2022 Jul 15;255:119208. doi: 10.1016/j.neuroimage.2022.119208. Epub 2022 Apr 12.,Schneider SC,Neuroimage,2022,2022/04/15,,,10.1016/j.neuroimage.2022.119208,K,0,,,,,,,,,method,
36214998,Differences in Olivo-Cerebellar Circuit and Cerebellar Network Connectivity in Essential Tremor: a Resting State fMRI Study,"Sharifi S, Buijink AWG, Luft F, Scheijbeler EP, Potters WV, van Wingen G, Heida T, Bour LJ, van Rootselaar AF.",Cerebellum. 2022 Oct 10. doi: 10.1007/s12311-022-01486-1. Online ahead of print.,Sharifi S,Cerebellum,2022,2022/10/10,,,10.1007/s12311-022-01486-1,K,1,17,19,,,,0,0,,,
35175549,Association between resting-state functional connectivity of amygdala subregions and peripheral pro-inflammation cytokines levels in bipolar disorder,"Gong J, Chen G, Chen F, Zhong S, Chen P, Zhong H, Lai S, Tang G, Wang J, Luo Z, Qi Z, Jia Y, Huang L, Wang Y.",Brain Imaging Behav. 2022 Aug;16(4):1614-1626. doi: 10.1007/s11682-022-00636-7. Epub 2022 Feb 17.,Gong J,Brain Imaging Behav,2022,2022/02/17,,,10.1007/s11682-022-00636-7,K,1,51,69,,,,0,0,,seed-based,
35250824,Efficacy of Transcranial Direct Current Stimulation Over Dorsolateral Prefrontal Cortex in Patients With Minimally Conscious State,"Peng Y, Zhao J, Lu X, Dong J, Zhang S, Zhang J, Liu H, Zheng X, Wang X, Lan Y, Yan T.",Front Neurol. 2022 Feb 18;13:821286. doi: 10.3389/fneur.2022.821286. eCollection 2022.,Peng Y,Front Neurol,2022,2022/03/07,PMC8894202,,10.3389/fneur.2022.821286,K,0,,,,,,,,,within-subjec,
35977953,Combined functional and structural imaging of brain white matter reveals stage-dependent impairment in multiple system atrophy of cerebellar type,"Lin H, Lin L, Xu L, Li S, Song P, Li M.",NPJ Parkinsons Dis. 2022 Aug 17;8(1):105. doi: 10.1038/s41531-022-00371-2.,Lin H,NPJ Parkinsons Dis,2022,2022/08/17,PMC9385720,,10.1038/s41531-022-00371-2,K,0,,,,,,,,,within-subject,
35099586,Visual hallucinations in Lewy body disease: pathophysiological insights from phenomenology,"D'Antonio F, Boccia M, Di Vita A, Suppa A, Fabbrini A, Canevelli M, Caramia F, Fiorelli M, Guariglia C, Ferracuti S, de Lena C, Aarsland D, Ffytche D.",J Neurol. 2022 Jul;269(7):3636-3652. doi: 10.1007/s00415-022-10983-6. Epub 2022 Jan 31.,D'Antonio F,J Neurol,2022,2022/01/31,PMC9217885,,10.1007/s00415-022-10983-6,K,0,,,,,,,,,association,
